enode://67123113a1d26b3df88b28c711931333defd407dba41a00a706094b89ca986e170420751bc641089bcf80087cf723ecc27739d6fcc362e84ba1aba81b2b5753d@127.0.0.1:0?discport=30301
Note: you're using cmd/bootnode, a developer tool.
We recommend using a regular node as bootstrap node for production deployments.
INFO [06-11|18:10:09.267] New local node record                    seq=1,718,109,609,264 id=062d3cdfc08a1093 ip=<nil> udp=0 tcp=0
TRACE[06-11|18:10:24.448] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:24.449] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:24.948] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:24.950] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:25.165] << PING/v4                               id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:25.165] >> PONG/v4                               id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:25.165] >> PING/v4                               id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:25.165] << PING/v4                               id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:25.165] >> PONG/v4                               id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:25.166] >> PING/v4                               id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:25.166] << PONG/v4                               id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:25.166] << PONG/v4                               id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:25.450] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:25.450] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:25.666] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:25.667] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:25.667] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:25.667] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:26.042] << PING/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:26.043] >> PONG/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:26.044] << ENRREQUEST/v4                         id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:26.044] >> ENRRESPONSE/v4                        id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:26.669] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:26.669] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:26.669] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:26.669] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:26.953] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:26.953] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:27.169] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:27.170] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:27.170] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:27.170] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:27.454] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:27.455] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:27.671] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:27.672] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:27.672] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:27.672] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:27.955] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:27.955] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:28.171] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:28.172] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:28.456] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:28.457] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:28.672] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:28.672] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:28.958] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:28.958] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:29.172] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:29.173] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:29.261] >> PING/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:29.262] << PONG/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:29.263] >> ENRREQUEST/v4                         id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:29.265] << ENRRESPONSE/v4                        id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
DEBUG[06-11|18:10:29.266] Revalidated node                         b=6 id=06129b0209a28e54 checks=1
TRACE[06-11|18:10:29.459] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:29.459] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:29.674] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:29.674] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:29.960] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:29.962] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:30.173] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:30.174] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:30.460] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:30.460] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:30.674] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:30.674] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:30.960] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:30.960] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:31.174] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:31.174] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:31.440] << PING/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:31.440] >> PONG/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:31.440] << ENRREQUEST/v4                         id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:31.440] >> ENRRESPONSE/v4                        id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:31.460] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:31.461] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:31.674] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:31.674] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:31.961] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:31.961] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:32.174] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:32.174] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:32.461] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:32.461] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:32.675] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:32.675] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:32.961] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:32.961] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:33.175] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:33.175] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:33.461] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:33.461] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:33.675] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:33.675] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:33.961] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:33.962] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:34.176] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:34.176] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:34.462] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:34.462] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:34.676] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:34.676] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:34.962] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:34.962] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:35.181] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:35.183] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:35.462] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:35.462] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:35.681] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:35.681] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:35.962] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:35.963] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:36.182] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:36.183] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:36.463] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:36.463] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:36.683] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:36.683] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:36.963] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:36.963] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:37.087] >> PING/v4                               id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:37.087] << PONG/v4                               id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:37.087] >> ENRREQUEST/v4                         id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:37.088] << ENRRESPONSE/v4                        id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
DEBUG[06-11|18:10:37.088] Revalidated node                         b=14 id=371562b8692bd780 checks=1
TRACE[06-11|18:10:37.183] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:37.183] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:37.463] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:37.463] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:37.576] << PING/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:37.576] >> PONG/v4                               id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:37.576] << ENRREQUEST/v4                         id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:37.576] >> ENRRESPONSE/v4                        id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:37.683] << FINDNODE/v4                           id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:37.683] >> NEIGHBORS/v4                          id=371562b8692bd780 addr=127.0.0.1:8401 err=<nil>
TRACE[06-11|18:10:37.963] << FINDNODE/v4                           id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
TRACE[06-11|18:10:37.964] >> NEIGHBORS/v4                          id=06129b0209a28e54 addr=127.0.0.1:8400 err=<nil>
